token_type,token_address,receiver,amount
erc20,0x4200000000000000000000000000000000000042,0x877bfd84480d236Ff4209050eEE02CFbcc0BCC27,35.088
erc20,0x4200000000000000000000000000000000000042,0x3953EdC69Bfad109C8B6A94070Adb327CBe40F07,35.088
erc20,0x4200000000000000000000000000000000000042,0x5012a077e38A65B999388c5c89f18DBd21B45403,35.088
erc20,0x4200000000000000000000000000000000000042,0x9250DcCB32C94125326C5e4dc3329dCcb2d804C4,35.088
erc20,0x4200000000000000000000000000000000000042,0xA2D35E418814A8b6367c66a5ac2FEc8ea16332b2,35.088
erc20,0x4200000000000000000000000000000000000042,0xD2602C7bDFC9F413974e944280BbFae275d1B1b6,35.088
erc20,0x4200000000000000000000000000000000000042,0x5c78F7a59DEF43F5b2aCE13AE23bAbaE88Bc9527,35.088
erc20,0x4200000000000000000000000000000000000042,0x6DaC996E32cEBcA0afa8Fc701C5eF65088a90947,35.088
erc20,0x4200000000000000000000000000000000000042,0x49BDea09E06Cf02875FC74c8824187458F40F22C,35.088
erc20,0x4200000000000000000000000000000000000042,0x895eA5c14E3F46D5718aA9f74b76f7e127E1B3C6,35.088
erc20,0x4200000000000000000000000000000000000042,0xe6b5A31d8bb53D2C769864aC137fe25F4989f1fd,35.088
erc20,0x4200000000000000000000000000000000000042,0xBd5f593C86319523e6E8AfE60dEdBEfaeDBdB8C9,35.088
erc20,0x4200000000000000000000000000000000000042,0xdCAd95C9894d80fB30817F59e7619Fd9128f64d1,35.088
erc20,0x4200000000000000000000000000000000000042,0x84bA4CC104a729A745B63374CbC924aD4ceea841,35.088
erc20,0x4200000000000000000000000000000000000042,0xf22f466323e7e9B388D612af9Bb9659318cd2435,35.088
erc20,0x4200000000000000000000000000000000000042,0x7894b2fbb044a969EA22cBDB283c7DB9E06d3B66,35.088
erc20,0x4200000000000000000000000000000000000042,0xF31d75e05d75D145BeeC47bC2447b823c5fF45B5,35.088
erc20,0x4200000000000000000000000000000000000042,0xEA5Bb9279C3e5aeEd8c82aa2B922300dEA237740,35.088
erc20,0x4200000000000000000000000000000000000042,0x761C9c5A71F45a843263070eBEdE70ec1641D59d,35.088
erc20,0x4200000000000000000000000000000000000042,0x239F6c4B83904aC0FB837Cb3a7aec6BeE5c8540A,35.088
erc20,0x4200000000000000000000000000000000000042,0xF96674b7D80f57276C35A6A37bf2B6f937367F4A,35.088
erc20,0x4200000000000000000000000000000000000042,0xcD097cd5A1acbC2F52F1a018bf47C9089A54D6aa,35.088
erc20,0x4200000000000000000000000000000000000042,0x7f4F303A2B372c004a3C8497D157Bd0f74E592fE,35.088
erc20,0x4200000000000000000000000000000000000042,0x5547150E553fe3D461333f6D4b30a5fb312538a3,35.088
erc20,0x4200000000000000000000000000000000000042,0xF8B31E6Cdc9C3C457F3857E0d71410D6142B242F,35.088
erc20,0x4200000000000000000000000000000000000042,0x88Df4D4240d4F388A88d9edC1DbC7D0154B996Cf,35.088
erc20,0x4200000000000000000000000000000000000042,0xa54C60Bd2294a6c1c86e57787981AfAcf9ef86E7,35.088
erc20,0x4200000000000000000000000000000000000042,0x16b0d2FF92fB7651Cb6C5be722a32376BB190315,35.088
erc20,0x4200000000000000000000000000000000000042,0xF2f3d01b47c21a2339f3A508531DA76A9380dCd7,35.088
erc20,0x4200000000000000000000000000000000000042,0xCC459846FF7587A972CaEFF28315c8D20390c4bd,35.088
erc20,0x4200000000000000000000000000000000000042,0xEc232193782425885d3a8946E9e89de00fcB441a,35.088
erc20,0x4200000000000000000000000000000000000042,0xA0efD27acC781549D5b78e89E561AA0903932d56,35.088
erc20,0x4200000000000000000000000000000000000042,0x119a849400dd8b61c8AB8995cb37AF32dBBD2D8B,35.088
erc20,0x4200000000000000000000000000000000000042,0x4347323e6e135933e2Fed641f49B77cB40751CE1,35.088
erc20,0x4200000000000000000000000000000000000042,0xb892357feCeA499F4285135301A423A832aBD1b2,35.088
erc20,0x4200000000000000000000000000000000000042,0xB31b6b4006e75A56C5B43D76D1E239d0C2831B6b,35.088
erc20,0x4200000000000000000000000000000000000042,0xe3F53c459985051FfA4d8069008a58742C22a5b0,35.088
erc20,0x4200000000000000000000000000000000000042,0xbAB6F5C97535e1689630d051360D7baDf7Bb7A14,35.088
erc20,0x4200000000000000000000000000000000000042,0xE2055492361513502D67f3c7538B0afFb03734A4,35.088
erc20,0x4200000000000000000000000000000000000042,0x42eEB118EF99133D50eEb49F74Aa9256318b0627,35.088
erc20,0x4200000000000000000000000000000000000042,0x3A94b4f1f4C7b06e490BA9de85D6af3269d17076,35.088
erc20,0x4200000000000000000000000000000000000042,0xA63b833C4bB36bF5E9d1C981Fb17a4fF37dD68f3,35.088
erc20,0x4200000000000000000000000000000000000042,0x66D071A20d7942767739BBca130E08e4848D12Bc,35.088
erc20,0x4200000000000000000000000000000000000042,0x25583CE7583FF3451d90bb12E11e925870450FEf,35.088
erc20,0x4200000000000000000000000000000000000042,0xFE27eC2e721302A9Bd9cA102edFfc6249A1B316E,35.088
erc20,0x4200000000000000000000000000000000000042,0x062168300176aA3947d2FEebccEe188eF35aBeb5,35.088
erc20,0x4200000000000000000000000000000000000042,0xD4bD16f0440956fc78E479D6A125Db5635eDe553,35.088
erc20,0x4200000000000000000000000000000000000042,0xf9e1D1e9F22c96752356AdFd377231528c7E851E,35.088
erc20,0x4200000000000000000000000000000000000042,0xcA39fDB1ec1d885318E6111F2eeF8B600Bc33dB9,35.088
erc20,0x4200000000000000000000000000000000000042,0x8eEF779818Afa953b0652e45438423ebE089F55A,35.088
erc20,0x4200000000000000000000000000000000000042,0x3fE2e08a1F7766606574a91a5CfAf3342d023947,35.088
