token_type,token_address,receiver,amount,id
erc20,0x4200000000000000000000000000000000000042,0x350CeF1AdA280E63fB62bBA4952ABC7c98aC215c,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xDca875f1514152E3049761fE32C9782719A2F34b,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xA4573c69aeC75D90a3aA4F963453148B96153099,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xBD039f0494cF848a60B2203147D8BE51d4bDE206,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x07b8F7E8B3c9a2cB210b5279028c00Ea4f4D6dd6,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xc78ED989d84EAe2537dA1079e0A4B314a71A4369,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x8ce4fe19ac5ea0df14200FADd5450c3cF40CF0D0,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x19D7A7086E3a96E0aa783E59594eFf743eb12aCf,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x2957C2968ebcB91f5683768a9bdC468d08C2a2C2,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9387F71F3928ebe9cE8B3D8cF37a8FB52739aE7d,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x33ae689b96Fa5C23AF5def0C6DC3890F5d9F05b0,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x011211eC9576923988C2Fe5aA3a362528c4e7e64,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xA3Fb8F7c9582439a57C7D57F15Bb55bc4AA9F0F7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x78b8A76BEa31733777556033e2a116df66C4C41C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xc1bc64efc56D7dBe2116c93d7CB7AA751c6E1a33,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x89f80508845277300e5bCd612904F7B4bf0d8369,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xda3b62C6f1611894e578c908EC90Ec2765872088,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xb1a3EB48091fcfC4EdD53745d4afb1763F004B88,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4815Ee939fE2efeC2f7bc415f0cE2282f6417fe9,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x082CDB957D0EF9aE865e71F0fBbc5D7E0AbA6e8c,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xB325ed76c8EAAC910F06fB3fAF24B613AE8ea34b,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xB8a87098C7c5B04c6EE70311d7bE8E9AC654d5E4,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x597BEa912e8734E17DDc4f43A489a1472d9459cF,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9250DcCB32C94125326C5e4dc3329dCcb2d804C4,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x54B2bC420f9d59A4a4Eda1c5121D6FA43Ad80193,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xbe270144130871B2da89600E0D3FcAf552AB22cf,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x49BDea09E06Cf02875FC74c8824187458F40F22C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x34845272292c2bDe89e2B764302aBB484e2A7068,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x7ea726De86fd2E60480902C6d31EfCbB0f9B6Da8,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd9433fEB77953cF723f672b1E1dAf228AA3F55ae,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x3fC124728D1eE5FC2B95Fd60D8bd8C39788110d0,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xCD1FF54458fcf47a90D57b546dD6E09a2A8cf561,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x13C385A2Aa976B637d2a701dEc0E2479cDAe3Bb7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x264827B8DD1cA3EF6afB080241B3D3D8dE8178B3,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xF5b1CE61ac45e5BfeE6a35de8881d3a7EBd45653,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xae907a3840AF4bC37D4C934584eA67BC12EB8604,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xAa32a69dCC7f0FB97312Ab9fC3a96326dDA124C4,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x7b1768877a8Cb5f51ADB4c231626DaE8f862f881,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xB3ca8EAba1ABe56937369Eaf3004418C8cD39D43,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x9693200746C056Bb3E548B6A25c5Fb1d5db2d874,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x8eEF779818Afa953b0652e45438423ebE089F55A,26.4550,
